channel_id,channel_title,video_id,video_title,video_publish_date,video_views,video_likes,video_dislikes,video_comments
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,0726S0M5ED8,"THINGS ALL BOYFRIENDS WANT! | HelloItsAmie","2018-06-23 20:00:04",208627,7662,472,628
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,SVzd-Ch_QJs,"BOYFRIEND RECREATES MY INSTAGRAM PHOTOS! | HelloItsAmie","2018-05-30 17:00:07",111064,4606,186,347
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,5fExAoR3sNo,"TRYING ON WISH PROM DRESSES! | HelloItsAmie","2018-05-23 17:00:03",158460,4283,191,391
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,ccvR7cqJJV8,"24 HOURS HANDCUFFED TO MY BOYFRIEND! | HelloItsAmie","2018-05-09 17:00:03",515380,11677,633,1035
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,_OfN88kONCA,"I SPENT £200 ON SHEIN! IS THIS FOR REAL!? | HelloItsAmie","2018-04-22 17:00:02",141231,4086,221,615
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,Qvn9F7_dSVY,"BOYFRIEND BUYS MY OUTFITS FOR A WEEK! | HelloItsAmie","2018-03-25 18:00:59",511771,10675,704,1593
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,MAG1OBQtRGo,"TRYING ON $5 DRESSES FROM PRETTYLITTLETHING! | HelloItsAmie","2018-03-01 17:00:14",478540,9794,484,969
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,mg3rrfStx6M,"1 MILLION SUBSCRIBERS! | HelloItsAmie","2018-02-24 16:00:02",166665,8439,243,1205
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,tn28Km3zFAQ,"Gifts NOT to Give Your Partner On Valentines Day! | HelloItsAmie","2018-02-13 18:00:03",262215,6124,482,804
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,Zwr43S4TO1A,"MY STYLE LOOKBOOK | HelloItsAmie","2018-02-08 17:00:18",129280,4047,293,1358
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,RuvN_YBMlx8,"COUPLES COMPATIBILTY TEST! | HelloItsAmie","2018-01-24 18:00:14",257975,5981,345,1193
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,E1tv885mOaI,"Weird Things All Couples Do! | HelloItsAmie","2018-01-15 18:00:10",1337582,21158,1706,1433
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,zeQwVyPeJfg,"Boyfriend Vs Period! | HelloItsAmie | AD","2017-11-28 18:00:17",1539226,31871,1553,1682
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,IzBaWf44_Aw,"10 Ways to Annoy your Boyfriend! | HelloItsAmie","2017-11-01 18:00:08",747672,21982,1083,1510
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,OJdo_O3yAPA,"Back To School Morning Routine! | HelloItsAmie","2017-09-14 17:00:24",563215,13607,1109,1011
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,wcC2jEp-eWM,"STOP KISSING ME PRANK ON BOYFRIEND! | HelloItsAmie","2017-08-31 18:00:49",3902672,84875,3592,3502
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,wbU6Q8pMZG0,"Yoga Challenge With Boyfriend! | HelloItsAmie","2017-08-25 18:00:09",723440,15040,746,779
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,h_UhoRTtrQE,"We Have The Same Dad?! | HelloItsAmie | AD","2017-08-23 19:00:02",665690,8702,436,1070
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,7zjIBzyvxbI,"THE LOLLIPOP KISSING CHALLENGE! | HelloItsAmie","2017-08-13 22:00:02",2922468,40443,2931,2907
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,IFs6sXe9J6A,"CHEATING PRANK *GONE WRONG* (He hit me) | HelloItsAmie","2017-07-28 18:34:28",2212513,47981,4398,2887
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,ifTEZTJHo50,"BOYFRIEND VS BROTHER! £25 PRIMARK OUTFIT CHALLENGE! | HelloItsAmie","2017-07-25 23:00:04",832878,26442,621,3556
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,M67oNkYH91M,"How Well Do We Know Each Other? | HelloItsAmie","2017-07-21 20:00:35",306645,12963,293,1025
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,X5ST_zfroec,"CALLING MY GIRLFRIEND UGLY PRANK! *GONE WRONG* | HelloItsAmie","2017-07-19 20:00:18",2290618,63540,3143,3430
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,cbHcOtUxVGs,"TATTOO PRANK ON BOYFRIEND *GONE WRONG*","2017-07-16 17:00:01",1227235,41885,1035,5144
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,v3LcG0OIOCE,"BOYFRIEND VS BROTHER! | HelloItsAmie","2017-07-13 17:00:09",649410,20741,590,1749
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,_lnb8yXcLxU,"TYPES OF RELATIONSHIPS | HelloItsAmie","2017-07-11 17:30:00",2816383,34329,2307,1805
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,w36oD7RDgnM,"DEAD GIRLFRIEND PRANK (EXTREME!) | HelloItsAmie","2017-07-09 17:00:02",2138670,69725,2063,6359
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,M8MPFX15fr0,"SMOKING PRANK ON ANGRY GIRLFRIEND! (GONE WRONG) | HelloItsAmie","2017-07-07 17:00:03",1630143,51430,1542,1506
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,cJWXhlTZq7U,"REACTING TO OUR OLD DUBSMASH! | HelloItsAmie","2017-07-03 18:04:18",550310,15145,441,855
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,TjoLRstgNrA,"LETS JUST BE FRIENDS PRANK! *BACKFIRES* | HelloItsAmie","2017-07-01 16:01:07",1175424,29826,732,1068
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,Qdh-iUIkYos,"COUPLES SLIME BATH CHALLENGE! | HelloItsAmie","2017-06-30 12:00:04",494492,13194,566,483
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,ZhT6j2WeSs0,"BREAK UP PRANK! *MUST WATCH* | HelloItsAmie","2017-06-28 17:00:03",942966,35268,660,1144
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,TK1Ss9Ria0Q,"OUR FIRST KISS!? | HelloItsAmie","2017-06-25 20:46:29",617971,11547,415,810
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,CTwyKUg8VjM,"1000 WATER BALLOONS VS TRAMPOLINE! | HelloItsAmie","2017-06-06 19:00:50",490927,13517,475,462
