channel_id,channel_title,video_id,video_title,video_publish_date,video_views,video_likes,video_dislikes,video_comments
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",DPPBpLVt5dc,"Pointless ****post disguised as a generic new years video","2019-01-01 00:13:29",7520,532,13,86
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",d0rNNq6d8CU,"Baruuk + Cobra & Crane","2018-12-20 18:07:26",53363,1310,48,197
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",f6f9jt68UbI,"K-Drive: An Introductory Guide || #Sponsored","2018-11-17 00:00:40",10821,588,6,62
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",cIRDDKUEQdE,"Fortuna Pre-stream!","2018-11-08 21:34:39",2371,63,1,3
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",qnG6qsDjHs8,"Extra Spooky Halloween Video","2018-10-30 14:14:20",4961,525,3,75
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",vLfI9Pb2Dy8,"Oh. Hello!","2018-10-22 03:23:51",2544,97,2,17
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",NGje3WHP4Y0,"It's okay Revenant. Go eat lunch.","2018-09-08 21:20:06",14724,961,12,163
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",-1nQ_L4ht0k,"Let's Play Warframe #9001 - Getting Revenant","2018-08-31 20:58:34",6233,321,1,52
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",0S4iZL4SRNg,"You're In My Church, Tenno [Warframe Music]","2018-08-11 19:41:44",13902,560,15,98
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",CXfMZnIE8go,"Why does Steel Charge give more mod space?","2018-08-06 19:53:34",104627,3163,74,355
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",42xO0erCXSQ,"Lato Vandal Prime (Weekly Weapon Review)","2018-08-05 06:01:50",18973,973,12,178
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",RT7IO0TAEbw,"Excal Umbra - ESO Zone 8 Solo","2018-07-23 07:09:46",10426,395,7,84
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",CANZ1xv3YWs,"Mega Moa [Warframe Music]","2018-07-21 05:21:46",8357,508,7,72
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",mqwpZXDiJFM,"How to Farm Credits 2018 (Early/Mid/Late Game)","2018-07-17 17:31:40",35985,1409,16,169
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",YPqwXHc1hV0,"Give Unto The Void (Warframe Music - made entirely from in-game audio)","2018-07-15 07:12:37",25620,1112,21,120
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",UQQx45C9e-8,"Tennocon 2018","2018-07-12 22:48:32",6003,325,3,53
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",gDmq33Fxt78,"I make this video once a year","2018-07-03 01:45:22",16568,1037,16,157
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",Q_YioyNS86w,"Weekly Warframe - Mesa (ft. [DE]Aidan)","2018-05-10 00:02:55",24866,1063,11,168
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",yWdBowCbWrA,"Weekly Warframe - Hax (ft. Tobiah)","2018-04-30 15:11:35",26401,1004,30,188
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",Etu5-kGUEN8,"I tried to make a video about peculiar bloom...","2018-04-25 14:56:20",9663,507,33,153
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",P4anSyhXiI8,"Saryn - Elite Sanctuary Onslaught Solo - Zone 9 Solo","2018-04-24 03:01:30",25118,574,30,116
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",o91EIyhsR5s,"5 Tips for Elite Sanctuary Onslaught","2018-04-22 05:47:02",32784,930,23,175
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",isUGTmvYJb4,"State of the channel (Warning: Vlog'ish)","2018-04-19 14:50:11",7187,584,10,134
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",zQ-k4WVdleg,"Let's Talk About Peculiar Mods","2018-04-17 07:29:50",25412,795,19,211
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",9cxyRfYllA8,"Weekly Warframe - Nova (ft. [DE]Taylor)","2018-04-16 03:05:32",33374,1337,35,276
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",4SR3M340MPw,"Weekly Warframe - Veteranship? Kinda?","2018-04-08 23:51:11",27335,1150,29,164
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",Inrer75Nl70,"Weekly Warframe - Lightning Braton","2018-04-02 00:02:08",31559,1234,26,140
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",iIwtZ2VYl50,"Unedited Zephyr Gameplay (Warning: Edited)","2018-03-29 23:03:25",16359,1123,9,200
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",KyX7aDNONKY,"Weekly Warframe - Limbo","2018-03-26 16:21:50",65081,1950,54,322
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",zNd9_x2OIzE,"prime birb.mov","2018-03-22 06:07:35",13983,831,31,100
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",f4n5u8dLSms,"Should You Buy Zephyr Prime Access?","2018-03-20 18:28:33",20099,693,23,97
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",uwrIf33YPvA,"Weekly Warframe - FIGHT!!","2018-03-19 01:59:18",21157,837,19,92
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",DDtgSfSAj0g,"Some stuff happened.","2018-03-16 05:58:35",7891,441,9,64
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",lGimKIgWnJk,"Captura's New Features (Review + Feedback)","2018-03-09 17:14:24",4539,252,1,21
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",YfmBsdLX03c,"Weekly Warframe - Slam","2018-03-04 16:02:33",10835,622,8,84
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",90sSzsv4SFg,"Ignis Punchthrough Nerf, Exodia Contagion, and Unintended Mechanics","2018-02-26 06:16:18",18098,660,24,204
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",EQWmBJWcwzE,"Weekly Warframe - Beam Weapons","2018-02-25 08:16:30",17712,1012,6,156
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",b7J9OFIr6zs,"Weekly Warframe - Forgive Me","2018-02-18 04:00:44",15657,815,14,140
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",eS6JPCV4mfQ,"Soundquake is fine.","2018-02-14 20:52:36",32446,969,40,177
UCQlJXJGd0Sjz9LT1btQ1pLw,"Joey Zero",ywg9YpJH2Tw,"Weekly Warframe - It's a test run you guys","2018-02-11 05:52:30",12367,1048,14,189
