channel_id,channel_title,video_id,video_title,video_publish_date,video_views,video_likes,video_dislikes,video_comments
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",Sb7D_BlQxfM,"Thermal View of a Geyser","2019-01-24 17:00:03",406388,25705,213,1172
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",-_5Ce7JgBPM,"Iceland’s Geyser in 4k Slow Mo","2019-01-23 17:00:06",1149729,64210,529,3670
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",MyZEWzvhVEY,"Planet Slow Mo - Official Trailer","2019-01-21 17:00:02",461585,39749,315,2792
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",EjIbmQsWtqc,"Macro Pupil Constricting in Slow Motion - The Slow Mo Guys","2019-01-15 13:36:42",2557076,110452,933,5252
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",GIMVge5TYz4,"How fast does glass crack? - The Slow Mo Guys","2018-12-13 18:17:19",6819982,199506,2765,9672
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",YGKRraZXp_4,"Rainbow Jelly Tennis - The Slow Mo Guys","2018-11-13 15:56:08",1205214,49034,371,2148
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",w3PHD__2wsE,"Firing a 2 inch Gun at 12,500fps - The Slow Mo Guys","2018-10-11 17:57:46",8818604,174002,3519,11570
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",RKTXn_c2tyQ,"Falling on a Moving Treadmill in Slow Mo - The Slow Mo Guys","2018-09-13 21:20:10",1628965,56041,1435,3047
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",FIG_n7RrCH0,"Electric Face Puncher in Slow Motion  - The Slow Mo Guys","2018-08-30 15:16:25",1592659,51500,1040,2349
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",dHfQYGGUS4U,"Massive Explosive Chain Reaction at 200,000fps - The Slow Mo Guys","2018-07-31 21:26:39",3918242,124660,1659,7686
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",PwhCtaVcaic,"Falling onto a Giant Water Balloon at 12,500fps - The Slow Mo Guys","2018-07-01 02:13:03",1689919,56499,844,2833
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",n-DTjpde9-0,"Spinning a Record to Pieces at 12,500fps - The Slow Mo Guys","2018-06-02 21:42:35",7396990,139017,3458,10100
