channel_id,channel_title,video_id,video_title,video_publish_date,video_views,video_likes,video_dislikes,video_comments
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,xSGu_Ervro0,"Ultimate Pizza Taste Test With Mark | Zoella","2018-06-23 16:59:20",1817957,75122,2800,750
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,MdKKqjABun8,"HUGE Summer Primark Haul | Zoella","2018-06-11 16:32:49",2040525,73642,2617,319
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,JWj4Hj6owqk,"Testing Weird Beauty Products With Mark | Zoella","2018-05-26 14:30:11",1520695,73813,778,498
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,nYdJ1iDYHow,"Full Face Of Glossier Makeup | Honest Review & First Impressions | Zoella","2018-05-22 16:28:10",1124243,46671,1327,329
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,UbPJfivqDzw,"My Travel Anxiety Tips | Zoella","2018-05-18 14:59:18",721715,33727,734,382
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,wqgcJpOHoHM,"March Favourites 2018 | Zoella","2018-04-18 15:00:43",892920,35808,684,218
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,-bx0e_kHaA4,"Huge American Haul (Ulta Beauty, Bath & BodyWorks, Glossier & Duane Reade) | Zoella","2018-04-10 15:00:49",1656802,68371,1198,510
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,s9ZQ6VuoN1c,"What's In My Travel Bag? | Zoella","2018-03-26 15:00:10",1680219,77759,1598,627
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,eljAjPH6zQI,"February Favourites 2018 | Zoella","2018-03-12 16:00:02",1104978,45930,1315,427
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,R8k1JvSBHlc,"Q&A - Life Choices, Trust Issues & Celeb Crushes | Zoella","2018-02-26 16:00:02",1077529,66958,745,400
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,Dtk-1zuw8us,"Huge ASOS & Zara Haul (With Some Major Fails) | Zoella","2018-02-19 18:50:23",1657019,67360,2024,314
